County,Population,Area_sq_mi
Adair,25660,568
Andrew,18091,435
Atchison,5139,545
Audrain,24304,693
Barry,35618,779
Barton,11717,594
Bates,16394,848
Benton,20614,706
Bollinger,10610,621
Boone,192154,685
Buchanan,83574,410
Butler,41814,698
Caldwell,9000,429
Callaway,45126,839
Camden,44135,655
Cape Girardeau,83658,579
Carroll,8414,695
Carter,5359,508
Cass,113873,699
Cedar,15023,476
Chariton,7397,756
Christian,96045,563
Clark,6623,507
Clay,263370,396
Clinton,21721,419
Cole,77625,392
Cooper,17122,565
Crawford,22808,743
Dade,7622,490
Dallas,17877,542
Daviess,8541,567
DeKalb,9884,424
Dent,14721,754
Douglas,12290,815
Dunklin,27002,546
Franklin,107256,922
Gasconade,14655,520
Gentry,6298,492
Greene,307942,675
Grundy,9766,436
Harrison,8186,725
Henry,22575,702
Hickory,8766,399
Holt,4241,462
Howard,10150,466
Howell,40762,928
Iron,9420,551
Jackson,727362,605
Jasper,126479,640
Jefferson,231888,657
Johnson,55880,831
Knox,3740,506
Laclede,36738,766
Lafayette,33511,629
Lawrence,39151,613
Lewis,9852,505
Lincoln,65888,630
Linn,11910,620
Livingston,14658,535
Macon,15177,804
Madison,12852,497
Maries,8506,528
Marion,28425,438
McDonald,24054,540
Mercer,3452,454
Miller,25668,592
Mississippi,11750,413
Moniteau,15294,417
Monroe,8890,646
Montgomery,11511,539
Morgan,22399,598
New Madrid,15212,678
Newton,61519,626
Nodaway,20503,877
Oregon,8699,792
Osage,13478,606
Ozark,9090,747
Pemiscot,14407,493
Perry,19100,475
Pettis,43791,685
Phelps,45672,673
Pike,17961,673
Platte,113207,420
Polk,33070,637
Pulaski,53964,547
Putnam,4539,518
Ralls,10499,471
Randolph,24077,482
Ray,23199,570
Reynolds,5927,811
Ripley,10715,630
Saint Charles,423726,561
Saint Clair,9848,677
Saint Francois,67503,450
Saint Louis,992929,508
Saint Louis City,279695,61.9
Sainte Genevieve,18546,502
Saline,23325,756
Schuyler,4069,308
Scotland,4698,438
Scott,37957,421
Shannon,7275,1004
Shelby,5926,501
Stoddard,28438,827
Stone,32630,463
Sullivan,5750,651
Taney,56744,632
Texas,25715,1179
Vernon,19787,834
Warren,38478,432
Washington,23583,760
Wayne,10820,761
Webster,42041,593
Worth,1872,266
Wright,19505,682
