"","County.x","Antlered.Buck","Button.Buck","Doe","Total","huntType","county_clean","County.y","Population","Area_sq_mi","GEOID"
"1","Adair",1489,206,1128,2823,"All Hunts","adair","Adair",25660,568,"29001"
"2","Andrew",676,79,360,1115,"All Hunts","andrew","Andrew",18091,435,"29003"
"3","Atchison",410,18,134,562,"All Hunts","atchison","Atchison",5139,545,"29005"
"4","Audrain",1048,330,1256,2634,"All Hunts","audrain","Audrain",24304,693,"29007"
"5","Barry",1375,250,1230,2855,"All Hunts","barry","Barry",35618,779,"29009"
"6","Barton",993,152,821,1966,"All Hunts","barton","Barton",11717,594,"29011"
"7","Bates",1165,207,1025,2397,"All Hunts","bates","Bates",16394,848,"29013"
"8","Benton",1979,439,2274,4692,"All Hunts","benton","Benton",20614,706,"29015"
"9","Bollinger",1476,514,2058,4048,"All Hunts","bollinger","Bollinger",10610,621,"29017"
"10","Boone",1616,305,1723,3644,"All Hunts","boone","Boone",192154,685,"29019"
"11","Buchanan",488,59,343,890,"All Hunts","buchanan","Buchanan",83574,410,"29021"
"12","Butler",968,169,908,2045,"All Hunts","butler","Butler",41814,698,"29023"
"13","Caldwell",1040,136,743,1919,"All Hunts","caldwell","Caldwell",9000,429,"29025"
"14","Callaway",2255,626,2894,5775,"All Hunts","callaway","Callaway",45126,839,"29027"
"15","Camden",1910,325,1628,3863,"All Hunts","camden","Camden",44135,655,"29029"
"16","Cape Girardeau",1296,314,1689,3299,"All Hunts","cape girardeau","Cape Girardeau",83658,579,"29031"
"17","Carroll",1408,194,1143,2745,"All Hunts","carroll","Carroll",8414,695,"29033"
"18","Carter",1276,260,1406,2942,"All Hunts","carter","Carter",5359,508,"29035"
"19","Cass",1334,193,1135,2662,"All Hunts","cass","Cass",113873,699,"29037"
"20","Cedar",1289,209,1160,2658,"All Hunts","cedar","Cedar",15023,476,"29039"
"21","Chariton",1202,145,911,2258,"All Hunts","chariton","Chariton",7397,756,"29041"
"22","Christian",1314,225,1156,2695,"All Hunts","christian","Christian",96045,563,"29043"
"23","Clark",1278,227,1202,2707,"All Hunts","clark","Clark",6623,507,"29045"
"24","Clay",603,82,432,1117,"All Hunts","clay","Clay",263370,396,"29047"
"25","Clinton",514,59,316,889,"All Hunts","clinton","Clinton",21721,419,"29049"
"26","Cole",794,216,1039,2049,"All Hunts","cole","Cole",77625,392,"29051"
"27","Cooper",1077,221,1289,2587,"All Hunts","cooper","Cooper",17122,565,"29053"
"28","Crawford",1949,457,2000,4406,"All Hunts","crawford","Crawford",22808,743,"29055"
"29","Dade",881,147,759,1787,"All Hunts","dade","Dade",7622,490,"29057"
"30","Dallas",1555,363,1524,3442,"All Hunts","dallas","Dallas",17877,542,"29059"
